건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
1001,단독주택,51169,0,127.3789012304,36.7725485609
1001,단독주택,51157,0,127.3790925117,36.7726618724
1001,단독주택,51159,0,127.379143076,36.772599694499995
1001,단독주택,51154,0,127.37908357399999,36.7724855984
1001,단독주택,51155,0,127.3790316147,36.7725008018
1001,단독주택,50867,0,127.3791446006,36.7722176284
1001,단독주택,50868,0,127.3791214849,36.7721459987
1001,단독주택,50860,0,127.3791297866,36.7720628701
1001,단독주택,50864,0,127.37923553780001,36.7719500378
1001,단독주택,50865,0,127.37919148579999,36.771922164
1001,단독주택,50866,0,127.37931751219999,36.7720144194
1001,단독주택,50852,0,127.3793001955,36.771827346
1001,단독주택,30888,0,127.38201868799999,36.7707423439
1001,단독주택,30891,0,127.3830083066,36.7697024217
1001,단독주택,30892,0,127.3830543089,36.7696633185
1001,단독주택,30890,0,127.38319108440001,36.769625033800004
1001,단독주택,30889,0,127.38310073950001,36.7697703385
1001,단독주택,30895,0,127.3829516365,36.7695247949
1001,단독주택,50812,0,127.38362091200001,36.769234774
1001,단독주택,50821,0,127.3835070601,36.7689916653
1001,단독주택,50823,0,127.38337137069999,36.7687863731
1001,단독주택,50822,0,127.3832887115,36.7688217252
1001,단독주택,50825,0,127.3833346071,36.7686516755
1001,단독주택,50826,0,127.3833772335,36.7685780885
1001,단독주택,19147,0,127.38358094959999,36.7683828244
1001,단독주택,50835,0,127.38311449129999,36.7686170128
1001,단독주택,50840,0,127.3828955783,36.7686198674
1001,단독주택,50837,0,127.382921688,36.7685195849
1001,단독주택,19145,0,127.38440461540002,36.7683330415
1001,단독주택,19143,0,127.38478308469999,36.768357298000005
1001,단독주택,139814,0,127.3830586749,36.7683539004
1001,단독주택,30962,0,127.3825899841,36.7614486011
1001,단독주택,30896,0,127.38285150909999,36.7674347476
1001,단독주택,50798,0,127.384204467,36.7641975963
1001,단독주택,50799,0,127.3842948025,36.7646759843
1001,단독주택,50800,0,127.3836210619,36.765576037399995
1001,단독주택,50801,0,127.38335728950001,36.7656498815
1001,단독주택,144971,0,127.3847900134,36.7647071354
1001,단독주택,144972,0,127.3849052436,36.764451275
1001,단독주택,144973,0,127.38481943469999,36.7642122508
1001,단독주택,50779,0,127.38362139649999,36.7654545504
1001,단독주택,30897,0,127.39165655309999,36.766218447
1001,단독주택,30898,0,127.3920243375,36.766034133699996
1001,단독주택,30899,0,127.39165343370001,36.7655123299
1001,단독주택,30907,0,127.39029427450001,36.7648545053
1001,단독주택,30910,0,127.389719629,36.7647204357
1001,단독주택,30908,0,127.38966428120001,36.764949360100005
1001,단독주택,139891,0,127.3905971813,36.7648356514
1001,단독주택,31125,0,127.39782325819999,36.7633104524
1001,단독주택,31124,0,127.3977008982,36.7633180938
1001,단독주택,50777,0,127.3990631094,36.7633097326
1001,단독주택,50765,0,127.4001725883,36.764510322199996
1001,단독주택,50760,0,127.4004527627,36.7644148787
1001,단독주택,50761,0,127.4005091379,36.7642633227
1001,단독주택,50766,0,127.3996438107,36.7645653638
1001,단독주택,50764,0,127.39985822690001,36.7646222405
1001,단독주택,50757,0,127.400050685,36.7649370782
1001,단독주택,50763,0,127.400475058,36.7645771337
1001,단독주택,50762,0,127.40035414020001,36.7648207848
1001,단독주택,50758,0,127.3999532614,36.7647736265
1001,단독주택,50759,0,127.4002583164,36.7646584544
1001,단독주택,145672,0,127.3991964298,36.766145763000004
1001,단독주택,146255,0,127.39905000200001,36.766369518000005
1001,단독주택,50755,0,127.39944484879999,36.7671152664
